10HZ,20HZ,30HZ,40HZ,50HZ,60HZ,70HZ,80HZ,90HZ,100HZ,110HZ,120HZ,130HZ,140HZ,150HZ,160HZ,170HZ,180HZ,190HZ,200HZ,210HZ,220HZ,230HZ,240HZ,4000HZ,4010HZ,4020HZ,4030HZ,4040HZ,4050HZ,4060HZ,4070HZ,4080HZ,4090HZ,4100HZ,4110HZ,4120HZ,4130HZ,4140HZ,4150HZ,4160HZ,4170HZ,4180HZ,4190HZ,4200HZ,4210HZ,4220HZ,4230HZ,4240HZ,4250HZ,4260HZ,4270HZ,4280HZ,4290HZ,4300HZ,4310HZ,4320HZ,4330HZ,4340HZ,4350HZ,4360HZ,4370HZ,4380HZ,4390HZ,4400HZ,4410HZ,4420HZ,4430HZ,4440HZ,4450HZ,4460HZ,4470HZ,4480HZ,4490HZ,max0,max1,max2,max3,max4,max5,max6,max7,max8,max9,max10,max11,max12,max13,max14,max15,max16,max17,max18,max19,label
4.0,4.0,6.0,6.0,6.0,6.0,7.0,9.0,10.0,12.0,22.0,47.0,,26.0,17.0,25.0,29.0,44.0,87.0,148.0,179.0,147.0,99.0,105.0,31.825531672273218,24.341752665488343,32.941444780204115,33.56998688636752,34.11711043959177,34.7645817891556,26.6007754147899,26.828097382975084,36.449056388619645,36.78453731683676,37.109299275899424,37.31911739551856,27.968470266263754,36.919550715548205,27.38519870003991,35.98722846228405,35.83807514681567,35.80819887108729,36.10399680711557,27.41513199156166,36.88625349221734,28.152859342037743,28.601345572723645,38.34220879183534,38.481783454016764,38.636866411996124,38.901191630081534,39.365528251325614,40.01687667483893,40.47870460117453,41.04726609270768,31.118307771252635,62.638234791037114,41.819259935001995,42.0124294429557,42.032270939050115,41.986430241176805,41.9387650379155,62.81030845544216,42.13603968299219,42.40196134329209,42.664690119163005,43.04623980842693,43.12241290837562,32.22772107873881,42.68247904669593,63.64673014424996,42.12258395575574,41.92143223672957,41.909572951707624,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,mid,low,low,0
13.0,15.0,17.0,13.0,15.0,17.0,17.0,20.0,20.0,19.0,20.0,22.0,22.0,29.0,27.0,27.0,32.0,30.0,35.0,44.0,47.0,49.0,49.0,54.0,159.1276583613661,154.16443354809283,164.70722390102057,167.84993443183762,170.58555219795886,147.7494726039113,168.4715776270027,178.8539825531672,154.9084896516335,174.72655225497462,176.26917156052227,186.5955869775928,223.74776213011003,203.05752893551514,200.82479046695934,215.9233707737043,223.98796966759792,223.80124294429558,243.7019784480301,265.012942585096,267.4253378185757,272.1443069730315,324.14858315753463,325.9087747306004,278.99293004162155,280.1172814869719,233.4071497804892,216.51040538229088,220.09282171161414,222.6328753064599,246.2835965562461,207.45538514168425,250.55293916414846,209.09629967500996,262.5776840184731,252.1936256343007,199.43554364558983,199.20913393009863,198.89931010890018,210.68019841496096,212.00980671646047,213.32345059581502,215.23119904213468,269.51508067734767,236.3366212440846,213.41239523347966,254.58692057699983,200.08227378983977,209.60716118364786,261.93483094817265,low,mid,high,low,low,mid,low,low,high,low,low,mid,low,mid,high,low,low,low,low,mid,0
3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,11.0,8.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,8.0,5.0,5.0,23.869148754204915,24.341752665488343,24.706083585153088,25.17749016477564,25.587832829693827,26.0734363418667,26.6007754147899,26.828097382975084,0.0,27.58840298762757,27.83197445692457,27.98933804663892,27.968470266263754,27.689663036661152,27.38519870003991,26.99042134671304,26.87855636011175,26.85614915331547,27.077997605336677,27.41513199156166,0.0,28.152859342037743,28.601345572723645,28.756656593876507,28.861337590512573,28.977649808997093,29.17589372256115,29.52414618849421,30.0126575061292,0.0,30.785449569530762,31.118307771252635,31.319117395518557,31.364444951251496,31.509322082216777,31.524203204287588,31.489822680882604,0.0,31.40515422772108,31.602029762244143,31.80147100746907,31.998517589372256,32.284679856320196,32.34180968128172,32.22772107873881,32.01185928502195,31.82336507212498,31.591937966816808,31.44107417754718,31.43217971378072,low,mid,low,mid,low,high,low,mid,low,mid,low,mid,low,mid,low,mid,low,mid,low,mid,0
,18.0,,21.0,21.0,32.0,,33.0,33.0,40.0,40.0,46.0,83.0,74.0,48.0,35.0,42.0,42.0,46.0,33.0,39.0,42.0,53.0,70.0,95.47659501681966,97.36701066195337,98.82433434061235,100.70996065910256,102.35133131877531,121.67603626204459,141.8708022122128,107.31238953190034,127.57169736016876,110.35361195051028,111.32789782769828,111.95735218655568,102.5510576429671,110.75865214664461,100.41239523347967,107.96168538685215,125.43326301385484,125.32869604880553,126.3639888249045,100.52215063572609,129.1018872227607,131.3800102628428,152.54050972119276,172.53993956325903,182.78847140657962,202.84354866297966,184.78066024288728,206.66902331945948,210.0886025429044,212.51319915616628,194.97451394036148,238.57369291293688,271.4323507611608,271.82518957751296,262.5776840184731,262.7016933690632,272.9117965676492,262.1172814869719,261.70961856434235,263.3502480187012,265.0122583955756,245.32196818518727,247.51587889845487,226.39266776897202,247.07919493699754,202.74177547180568,243.97913221962483,200.08227378983977,220.08751924283024,240.98004447231884,low,low,low,mid,low,low,low,low,low,mid,low,low,low,low,low,mid,low,mid,low,mid,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,7.0,11.0,14.0,18.0,14.0,25.0,43.0,68.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low,high,low,mid,low,mid,low,mid,low,high,low,mid,low,mid,low,high,low,high,low,high,1
7.0,9.0,9.0,9.0,16.0,23.0,51.0,30.0,44.0,39.0,39.0,72.0,65.0,60.0,25.0,37.0,32.0,44.0,67.0,32.0,32.0,42.0,88.0,139.0,16.476706083487677,16.56674739991452,16.760792135631856,0.0,17.167972645676024,17.475708790425987,17.955549223536117,18.08662202592962,18.566462459039748,18.93717053711355,19.238068100869068,19.600227952699814,20.22367858669326,20.34848268984186,20.904687277389943,21.359737854395213,21.66177518164981,21.652657073657217,21.81222396352757,21.695683145747257,22.33167117823052,22.098589542669895,21.517595099016955,21.56176093460607,23.17794557629292,21.974640262145606,21.801681151161134,21.888588117965522,21.940732298048154,22.268129363157144,22.725174526285794,22.678159281948997,22.80182362159852,22.821484541957545,22.920359025502208,22.88217694828323,23.301609915942443,22.875623308163558,22.2242484684428,21.63527568029634,21.1699672317994,20.666761646958257,20.80182362159852,20.42513178515458,20.135916797264567,20.049864653084484,19.786579284798403,19.551503063114403,19.51674027639265,19.340931756660492,low,mid,low,mid,low,mid,low,low,low,high,low,mid,low,mid,low,low,low,mid,low,mid,1
8.0,11.0,8.0,5.0,8.0,8.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0,14.0,16.0,25.0,27.0,44.0,71.0,175.0404241975027,178.50618621358117,205.88402987627572,226.5974114829808,230.29049546724445,217.2786361822225,266.007754147899,223.56747819145903,246.0311306231826,248.29562688864814,278.3197445692457,205.25514567535208,233.07058555219794,230.74719197217627,200.82479046695934,224.92017788927532,170.23085694737443,196.9450937909801,198.57198243913564,228.45943326301384,202.8743942071954,206.45430184161012,181.1418552939164,210.88214835509436,182.78847140657962,154.5474656479845,184.78066024288728,157.46211300530246,160.06750669935573,161.9148184046981,194.97451394036148,165.96430811334739,167.03529277609897,146.367409772507,168.0497177718228,147.1129482866754,167.94572096470722,146.78567763270425,146.55738639603172,168.54415873196876,169.60784537316837,117.32789782769827,118.37715947317406,150.92844517931468,150.3960317007811,149.38867666343577,116.68567193112492,147.4290438451451,146.7250128285535,146.6835053309767,low,high,low,mid,low,mid,low,mid,low,mid,low,mid,low,mid,low,mid,low,mid,low,mid,0
,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,3.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,41.19176520871919,41.4168684997863,33.52158427126371,33.92050149593959,51.50391793702807,52.427126371277964,44.88887305884029,45.21655506482405,46.41615614759937,47.34292634278387,38.476136201738136,49.000569881749534,60.67103576007978,50.87120672460465,62.71406183216983,53.39934463598803,54.15443795412452,54.131642684143046,65.4366718905827,65.08704943724177,55.8291779455763,55.24647385667474,53.79398774754239,64.68528280381821,81.12280951702522,65.92392078643681,65.4050434534834,54.72147029491381,54.85183074512038,66.80438808947143,56.81293631571449,68.034477845847,68.40547086479556,68.46445362587264,68.76107707650662,68.64653084484969,58.2540247898561,68.62686992449068,55.560621171106995,54.08818920074084,63.5099016953982,51.666904117395646,62.40547086479556,51.06282946288645,60.4077503917937,50.12466163271121,59.359737854395206,48.87875765778601,58.550220829177945,48.35232939165123,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,1
,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,7.0,19.0,11.0,12.0,7.0,7.0,5.0,9.0,16.0,12.0,12.0,31.825531672273218,32.45567022065112,32.941444780204115,33.56998688636752,34.11711043959177,34.7645817891556,35.4677005530532,35.770796510633446,36.449056388619645,36.78453731683676,37.109299275899424,37.31911739551856,37.29129368835167,36.919550715548205,45.641997833399856,44.98403557785507,44.797593933519586,44.76024858885911,45.129996008894466,45.69188665260277,46.10781686527168,65.6900051314214,66.73647300302183,47.92776098979417,48.10222931752095,48.296083014995155,68.07708535264268,68.88967443981983,70.02953418096813,91.07708535264268,71.83271566223844,72.60938479958948,93.95735218655567,94.09333485375448,73.52175152517248,94.57260961286276,94.4694680426478,73.39283881635212,94.21546268316324,126.40811904897657,116.60539369405326,117.32789782769827,96.8540395689606,75.46422258965734,75.19801585039055,74.69433833171789,53.038941786874965,73.71452192257254,52.401790295911965,73.34175266548834,low,mid,low,mid,low,low,low,low,low,mid,low,mid,low,mid,low,mid,low,low,low,mid,0
0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,,3.0,3.0,3.0,0.0,3.0,7.0,13.0,,26.0,26.0,26.0,23.0,23.0,82.0,185.0,0.0,0.0,25.141188203447783,0.0,0.0,0.0,0.0,0.0,0.0,28.405755805670324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.71833594529135,32.54352471862089,0.0,33.14788431400484,32.27639264852543,0.0,34.76691836443938,0.0,0.0,0.0,0.0,0.0,0.0,34.0172389229235,34.20273543239778,0.0,0.0,0.0,0.0,34.31343496224534,33.3363727026642,75.72346488103719,211.69967231799401,134.33395070522866,72.80638267559482,30.63769767773187,30.20387519589685,30.074796979626726,29.679868927197603,0.0,0.0,0.0,low,high,low,high,low,high,low,high,low,high,low,high,low,mid,low,mid,low,low,low,mid,1
,2.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,6.0,21.0,36.0,24.0,19.0,13.0,15.0,21.0,30.0,51.0,94.0,141.0,77.0,73.0,54.0,32.953412166975355,16.56674739991452,33.52158427126371,33.92050149593959,17.167972645676024,17.475708790425987,17.955549223536117,18.08662202592962,37.132924918079496,37.8743410742271,38.476136201738136,39.20045590539963,40.44735717338652,20.34848268984186,41.809374554779886,42.719475708790426,21.66177518164981,43.305314147314434,21.81222396352757,43.39136629149451,22.33167117823052,22.098589542669895,43.03519019803391,21.56176093460607,46.35589115258584,43.94928052429121,21.801681151161134,21.888588117965522,43.88146459609631,44.53625872631429,45.45034905257159,22.678159281948997,45.60364724319704,45.64296908391509,22.920359025502208,22.88217694828323,23.301609915942443,45.751246616327116,22.2242484684428,21.63527568029634,21.1699672317994,41.333523293916514,41.60364724319704,20.42513178515458,20.135916797264567,40.09972930616897,19.786579284798403,19.551503063114403,19.51674027639265,38.681863513320984,low,low,low,mid,low,mid,low,mid,low,mid,low,mid,low,mid,low,mid,low,low,low,low,1
,25.0,22.0,25.0,25.0,20.0,20.0,20.0,20.0,20.0,18.0,27.0,29.0,31.0,29.0,29.0,29.0,47.0,51.0,51.0,72.0,101.0,130.0,237.0,164.76706083487676,149.10072659923065,150.8471292206867,135.68200598375836,154.51175381108422,157.28137911383388,197.5110414588973,180.8662202592962,185.66462459039747,208.30887590824904,192.3806810086907,196.00227952699814,222.46046445362586,183.13634420857673,261.3085909673743,288.3564610343354,270.7721897706226,292.3108704943724,272.6527995440946,271.1960393218407,245.6483829605357,276.2323692833737,236.6935460891865,237.17937028066677,312.9022652799544,219.74640262145607,218.01681151161134,240.77446929762075,274.25915372560195,300.61974640262144,329.51503063114404,306.15515030631144,307.82461889158003,285.2685567744693,332.34520586978203,331.7915657501068,361.17495369710787,331.6965379683716,377.8122239635276,313.7114973642969,381.0594101723892,351.3349479982904,353.63100156717485,316.589542669896,312.1067103576008,270.67317281664054,306.6919789143752,263.9452913520444,263.4759937313008,280.44351047157716,low,low,low,mid,low,mid,low,mid,low,low,low,mid,low,low,low,low,low,mid,low,mid,1
5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,10.0,9.0,10.0,9.0,6.0,6.0,8.0,11.0,13.0,17.0,34.0,39.78191459034152,40.5695877758139,41.17680597525514,41.962483607959406,42.646388049489715,43.4557272364445,44.334625691316496,53.65619476595017,45.56132048577456,45.98067164604595,46.38662409487428,55.97867609327784,46.614117110439594,46.14943839443526,45.641997833399856,44.98403557785507,44.797593933519586,44.76024858885911,45.129996008894466,45.69188665260277,46.10781686527168,56.30571868407549,47.66890928787274,47.92776098979417,48.10222931752095,57.955299617994186,58.3517874451223,59.04829237698842,50.021095843548665,50.598380751468156,51.3090826158846,62.23661554250527,52.198528992530925,62.72888990250299,52.51553680369462,52.54033867381264,52.483037801471006,52.42345629739438,52.341923712868464,52.67004960374024,74.20343235076116,53.330862648953755,53.80779976053367,53.90301613546953,53.71286846456468,53.353098808369914,63.64673014424996,52.65322994469468,52.401790295911965,52.38696618963453,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,0
3.0,3.0,3.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,5.0,6.0,11.0,19.0,12.0,6.0,8.0,9.0,11.0,11.0,14.0,17.0,19.0,19.0,49.43011825046303,41.4168684997863,50.282376406895565,42.40062686992449,42.91993161419006,43.689271976064965,26.933323835304176,45.21655506482405,46.41615614759937,47.34292634278387,28.8571021513036,49.000569881749534,50.559196466733155,50.87120672460465,52.261718193474856,32.03960678159282,54.15443795412452,54.131642684143046,54.53055990881892,32.54352471862089,55.8291779455763,66.29576862800968,53.79398774754239,32.342641401909106,57.944863940732304,54.93660065536402,54.504202877902834,54.72147029491381,54.85183074512038,33.402194044735715,68.17552357885738,56.69539820487249,57.004559053996296,34.23222681293632,57.30089756375552,57.20544237070808,58.2540247898561,57.18905827040889,55.560621171106995,54.08818920074084,52.924918079498504,51.666904117395646,52.004559053996296,61.27539535546374,50.33979199316142,50.12466163271121,49.46644821199601,58.65450918934321,58.550220829177945,48.35232939165123,low,low,low,low,low,low,low,low,low,mid,low,mid,low,low,low,low,low,low,low,low,1
,4.0,4.0,4.0,4.0,5.0,7.0,13.0,20.0,18.0,52.0,25.0,47.0,43.0,36.0,49.0,27.0,33.0,33.0,34.0,69.0,141.0,181.0,461.0,31.825531672273218,40.5695877758139,32.941444780204115,33.56998688636752,34.11711043959177,43.4557272364445,35.4677005530532,35.770796510633446,36.449056388619645,36.78453731683676,37.109299275899424,37.31911739551856,37.29129368835167,36.919550715548205,45.641997833399856,35.98722846228405,35.83807514681567,44.76024858885911,36.10399680711557,36.55350932208221,18.44312674610867,37.53714578938366,38.13512743029819,38.34220879183534,48.10222931752095,48.296083014995155,38.901191630081534,39.365528251325614,40.01687667483893,40.47870460117453,41.04726609270768,41.491077028336846,41.75882319402474,41.819259935001995,52.51553680369462,42.032270939050115,41.986430241176805,41.9387650379155,41.873538970294774,42.13603968299219,42.40196134329209,42.664690119163005,43.04623980842693,43.12241290837562,42.970294771651744,42.68247904669593,42.43115342949997,42.12258395575574,41.92143223672957,41.909572951707624,low,mid,low,low,low,mid,low,low,low,low,low,mid,low,mid,low,mid,low,low,low,mid,0
